source,target,weight,evidence,sign,input_form,log2FC,padj
KLF6,TSPAN14,1,DoRothEA_confC,Activator,Hill_activator,-1.92266590554745,0.129832905660513
AR,DHX15,3,DoRothEA_confA,Activator,Hill_activator,-0.448724200706506,0.157515133487882
CREB1,ODC1,3,DoRothEA_confA,Activator,Hill_activator,0.714084542246331,0.176329634566124
KLF6,ETS2,1,DoRothEA_confC,Activator,Hill_activator,0.481357230402166,0.179693760980023
AR,PTPRM,3,DoRothEA_confA,Activator,Hill_activator,-0.582972179286386,0.207434181267047
KLF5,SPIRE2,1,DoRothEA_confC,Activator,Hill_activator,1.33128694861574,0.208821333361372
EPAS1,SERPINE1,3,DoRothEA_confA,Activator,Hill_activator,1.92436258492392,0.210381094367765
SMAD3,SERPINE1,3,DoRothEA_confA,Activator,Hill_activator,1.92436258492392,0.210381094367765
AR,CITED2,3,DoRothEA_confA,Activator,Hill_activator,-0.786915718216276,0.215120846484742
CREB1,BDNF,3,DoRothEA_confA,Activator,Hill_activator,1.94371192894739,0.221175001584375
MEF2A,SIPA1L1,1,DoRothEA_confC,Activator,Hill_activator,0.415111052484814,0.222400428430241
NR2F1,ATP2B3,1,DoRothEA_confC,Activator,Hill_activator,-0.336311857652756,0.258748208074183
AR,CDKL5,3,DoRothEA_confA,Activator,Hill_activator,0.601094771791321,0.333326108634363
AR,DDC,3,DoRothEA_confA,Activator,Hill_activator,0.83695741166597,0.333326108634363
MAFB,ZFP407,1,DoRothEA_confC,Activator,Hill_activator,0.51553857690282,0.348361831909132
KLF6,ERRFI1,1,DoRothEA_confC,Activator,Hill_activator,0.719527368183077,0.389146161844753
NR2F1,PLXND1,1,DoRothEA_confC,Activator,Hill_activator,0.951693275541976,0.433435824897497
MEF2A,UST,1,DoRothEA_confC,Activator,Hill_activator,0.865345927055618,0.471690278716551
NR2F1,TOP1MT,1,DoRothEA_confC,Activator,Hill_activator,-1.00446466919565,0.47391674652653
MAFB,CLIP4,1,DoRothEA_confC,Activator,Hill_activator,0.4907868281697,0.499933009904958
SMAD3,TGFB1,3,DoRothEA_confA,Repressor,Hill_repressor,1.86320429069897,0.51371390163577
PROX1,ABCB1B,1,DoRothEA_confC,Activator,Hill_activator,-1.89201554095257,0.518482597626683
NR2F1,BRSK2,1,DoRothEA_confC,Activator,Hill_activator,0.441492079941528,0.518482597626683
MAFB,TRIO,1,DoRothEA_confC,Activator,Hill_activator,0.409212227910738,0.518482597626683
MEF2A,TRIO,1,DoRothEA_confC,Activator,Hill_activator,0.409212227910738,0.518482597626683
AR,ZBTB16,3,DoRothEA_confA,Activator,Hill_activator,0.800985621534352,0.518482597626683
MEF2A,AKAP6,1,DoRothEA_confC,Activator,Hill_activator,0.339174935851906,0.522982350295275
NR2F1,SULF2,1,DoRothEA_confC,Activator,Hill_activator,0.348496120224915,0.532205081767333
NR2F1,EHMT1,1,DoRothEA_confC,Activator,Hill_activator,-0.499056876516694,0.538613229471779
CREB1,NR4A2,3,DoRothEA_confA,Activator,Hill_activator,-1.72161208739123,0.538613229471779
KLF6,WWTR1,1,DoRothEA_confC,Activator,Hill_activator,-0.527951113021293,0.542746668754725
MEF2A,WWTR1,1,DoRothEA_confC,Activator,Hill_activator,-0.527951113021293,0.542746668754725
RARA,IER3,3,DoRothEA_confA,Activator,Hill_activator,-1.5157495508604,0.549689414029698
MEF2A,UVRAG,1,DoRothEA_confC,Activator,Hill_activator,0.710444684899433,0.55912772297921
MEF2A,PRKCE,1,DoRothEA_confC,Activator,Hill_activator,0.271734148804584,0.572288817911793
MEF2A,GTDC1,1,DoRothEA_confC,Activator,Hill_activator,0.516230156823687,0.577277009608729
AR,HNRNPA1,3,DoRothEA_confA,Activator,Hill_activator,-1.05027782703014,0.577549448280286
NR2F1,MAD1L1,1,DoRothEA_confC,Activator,Hill_activator,0.867792902761315,0.577549448280286
CREB1,CPT1A,3,DoRothEA_confA,Activator,Hill_activator,-1.02119411013101,0.58014160702667
KLF5,CIRBP,1,DoRothEA_confC,Activator,Hill_activator,0.695476843285129,0.581227606893233
NR2F1,ATP11A,1,DoRothEA_confC,Activator,Hill_activator,0.444636382795919,0.582962027219252
NR2F1,COL5A1,1,DoRothEA_confC,Activator,Hill_activator,-2.38538478576446,0.614092784467888
MAFB,KLF9,1,DoRothEA_confC,Activator,Hill_activator,0.399826176191162,0.655338407575946
MEF2A,KLF9,1,DoRothEA_confC,Activator,Hill_activator,0.399826176191162,0.655338407575946
KLF6,VMP1,1,DoRothEA_confC,Activator,Hill_activator,0.488738044681504,0.669269500936261
MAFB,TNS3,1,DoRothEA_confC,Activator,Hill_activator,0.387606273265252,0.693799007174427
PROX1,TNS3,1,DoRothEA_confC,Activator,Hill_activator,0.387606273265252,0.693799007174427
KLF5,CANT1,1,DoRothEA_confC,Activator,Hill_activator,-0.588074438093577,0.708192937707611
AR,PPP2R5D,3,DoRothEA_confA,Activator,Hill_activator,0.594823381494693,0.736753846320121
NR2F1,PLXNA2,1,DoRothEA_confC,Activator,Hill_activator,0.251797996998102,0.736783072533958
POU2F1,RPTOR,3,DoRothEA_confA,Activator,Hill_activator,0.328032368414981,0.740411488754334
RARA,RPTOR,3,DoRothEA_confA,Activator,Hill_activator,0.328032368414981,0.740411488754334
MEF2A,RGS3,1,DoRothEA_confC,Activator,Hill_activator,0.735726025503127,0.743235377262055
AR,PIN1,3,DoRothEA_confA,Activator,Hill_activator,-0.555326740452265,0.746583907355747
