source,target,sign,weight,evidence
AR,HNRNPA1,Activator,3.0,DoRothEA_confA
AR,HSD17B11,Activator,3.0,DoRothEA_confA
AR,IGF1R,Activator,3.0,DoRothEA_confA
AR,IGFBP3,Activator,3.0,DoRothEA_confA
AR,IL1R1,Activator,3.0,DoRothEA_confA
AR,JUN,Activator,3.0,DoRothEA_confA
AR,KCNH2,Activator,3.0,DoRothEA_confA
AR,KLF5,Activator,3.0,DoRothEA_confA
AR,LIFR,Activator,3.0,DoRothEA_confA
AR,MED1,Activator,3.0,DoRothEA_confA
AR,MRPS27,Activator,3.0,DoRothEA_confA
AR,MT2,Activator,3.0,DoRothEA_confA
AR,MYC,Activator,3.0,DoRothEA_confA
AR,NCOA2,Repressor,3.0,DoRothEA_confA
AR,NDRG1,Activator,3.0,DoRothEA_confA
AR,NME7,Activator,3.0,DoRothEA_confA
AR,NPAT,Activator,3.0,DoRothEA_confA
AR,NPEPPS,Activator,3.0,DoRothEA_confA
AR,NUP214,Activator,3.0,DoRothEA_confA
AR,PEX6,Activator,3.0,DoRothEA_confA
AR,PIN1,Activator,3.0,DoRothEA_confA
AR,PMEPA1,Activator,3.0,DoRothEA_confA
AR,PNRC1,Activator,3.0,DoRothEA_confA
AR,PPP2R5D,Activator,3.0,DoRothEA_confA
AR,PRKCD,Activator,3.0,DoRothEA_confA
AR,PRPS1,Activator,3.0,DoRothEA_confA
AR,PRPS1L3,Activator,3.0,DoRothEA_confA
AR,PTPN9,Activator,3.0,DoRothEA_confA
AR,PTPRM,Activator,3.0,DoRothEA_confA
AR,QSOX1,Activator,3.0,DoRothEA_confA
AR,RBMX,Activator,3.0,DoRothEA_confA
AR,RBMXL1,Activator,3.0,DoRothEA_confA
AR,RBPMS,Activator,3.0,DoRothEA_confA
AR,RELA,Repressor,3.0,DoRothEA_confA
AR,RNASE4,Activator,3.0,DoRothEA_confA
AR,SCAP,Activator,3.0,DoRothEA_confA
AR,SCNN1A,Activator,3.0,DoRothEA_confA
AR,SDF2,Activator,3.0,DoRothEA_confA
AR,SERPINI1,Activator,3.0,DoRothEA_confA
AR,SLC25A11,Activator,3.0,DoRothEA_confA
AR,SMARCA2,Activator,3.0,DoRothEA_confA
AR,SMS,Activator,3.0,DoRothEA_confA
AR,SORD,Activator,3.0,DoRothEA_confA
AR,SOX4,Activator,3.0,DoRothEA_confA
AR,STK39,Activator,3.0,DoRothEA_confA
AR,STXBP2,Activator,3.0,DoRothEA_confA
AR,SUOX,Activator,3.0,DoRothEA_confA
AR,TESK1,Activator,3.0,DoRothEA_confA
AR,THRA,Activator,3.0,DoRothEA_confA
AR,TNFRSF1A,Activator,3.0,DoRothEA_confA
AR,TRPS1,Activator,3.0,DoRothEA_confA
AR,UBC,Activator,3.0,DoRothEA_confA
AR,UBE2D3,Activator,3.0,DoRothEA_confA
AR,VAPA,Activator,3.0,DoRothEA_confA
AR,VEGFA,Activator,3.0,DoRothEA_confA
AR,XPA,Activator,3.0,DoRothEA_confA
AR,ZBTB16,Activator,3.0,DoRothEA_confA
AR,ZCCHC9,Activator,3.0,DoRothEA_confA
AR,ZFHX4,Activator,3.0,DoRothEA_confA
CREB1,ADRA1A,Activator,3.0,DoRothEA_confA
CREB1,BCL2,Activator,3.0,DoRothEA_confA
CREB1,BDNF,Activator,3.0,DoRothEA_confA
CREB1,CCND1,Activator,3.0,DoRothEA_confA
CREB1,CDK11B,Activator,3.0,DoRothEA_confA
CREB1,CGA,Activator,3.0,DoRothEA_confA
CREB1,CPT1A,Activator,3.0,DoRothEA_confA
CREB1,CXCR4,Activator,3.0,DoRothEA_confA
CREB1,CYP19A1,Activator,3.0,DoRothEA_confA
CREB1,DIO2,Activator,3.0,DoRothEA_confA
CREB1,EGR1,Activator,3.0,DoRothEA_confA
CREB1,ETV3,Activator,3.0,DoRothEA_confA
CREB1,FLT1,Activator,3.0,DoRothEA_confA
CREB1,FN1,Activator,3.0,DoRothEA_confA
CREB1,FOS,Activator,3.0,DoRothEA_confA
CREB1,H2-AB1,Activator,3.0,DoRothEA_confA
CREB1,HPGD,Activator,3.0,DoRothEA_confA
CREB1,JUN,Repressor,3.0,DoRothEA_confA
CREB1,MITF,Activator,3.0,DoRothEA_confA
CREB1,NF1,Activator,3.0,DoRothEA_confA
CREB1,NOLC1,Activator,3.0,DoRothEA_confA
CREB1,NPY,Activator,3.0,DoRothEA_confA
CREB1,NR4A2,Activator,3.0,DoRothEA_confA
CREB1,NR4A3,Activator,3.0,DoRothEA_confA
CREB1,NTS,Activator,3.0,DoRothEA_confA
CREB1,ODC1,Activator,3.0,DoRothEA_confA
CREB1,PCK2,Activator,3.0,DoRothEA_confA
CREB1,PCSK1,Activator,3.0,DoRothEA_confA
CREB1,PDYN,Activator,3.0,DoRothEA_confA
CREB1,PLAT,Repressor,3.0,DoRothEA_confA
CREB1,POLD2,Activator,3.0,DoRothEA_confA
CREB1,PPP2CA,Activator,3.0,DoRothEA_confA
CREB1,PSEN1,Activator,3.0,DoRothEA_confA
CREB1,RARB,Activator,3.0,DoRothEA_confA
CREB1,RRM2B,Activator,3.0,DoRothEA_confA
CREB1,SLC19A1,Activator,3.0,DoRothEA_confA
CREB1,SLC20A1,Activator,3.0,DoRothEA_confA
CREB1,SPRY2,Activator,3.0,DoRothEA_confA
CREB1,STAR,Activator,3.0,DoRothEA_confA
CREB1,TH,Activator,3.0,DoRothEA_confA
CREB1,TRH,Activator,3.0,DoRothEA_confA
CREB1,UGT8A,Activator,3.0,DoRothEA_confA
CREB1,VEGFA,Activator,3.0,DoRothEA_confA
EPAS1,ADORA2A,Activator,3.0,DoRothEA_confA
EPAS1,BHLHE40,Activator,3.0,DoRothEA_confA
EPAS1,CAR9,Activator,3.0,DoRothEA_confA
EPAS1,EGLN3,Activator,3.0,DoRothEA_confA
EPAS1,FLT1,Activator,3.0,DoRothEA_confA
EPAS1,PDGFB,Activator,3.0,DoRothEA_confA
EPAS1,SERPINE1,Activator,3.0,DoRothEA_confA
EPAS1,SLC11A2,Activator,3.0,DoRothEA_confA
EPAS1,TERT,Activator,3.0,DoRothEA_confA
EPAS1,VEGFA,Activator,3.0,DoRothEA_confA
KLF4,CCND1,Activator,3.0,DoRothEA_confA
KLF4,CDKN1A,Activator,3.0,DoRothEA_confA
KLF4,LAMA3,Activator,3.0,DoRothEA_confA
KLF4,PFKP,Activator,3.0,DoRothEA_confA
KLF4,RARA,Repressor,3.0,DoRothEA_confA
KLF4,THBD,Activator,3.0,DoRothEA_confA
KLF5,FASN,Activator,1.0,DoRothEA_confC
KLF5,NOTCH1,Activator,1.0,DoRothEA_confC
KLF5,FOXQ1,Activator,1.0,DoRothEA_confC
KLF5,JUP,Activator,1.0,DoRothEA_confC
KLF5,LAMB3,Activator,1.0,DoRothEA_confC
KLF5,ACTN1,Activator,1.0,DoRothEA_confC
KLF5,ADAP1,Activator,1.0,DoRothEA_confC
KLF5,AGRN,Activator,1.0,DoRothEA_confC
KLF5,ALDH3A2,Activator,1.0,DoRothEA_confC
KLF5,ANXA2,Activator,1.0,DoRothEA_confC
KLF5,C77080,Activator,1.0,DoRothEA_confC
KLF5,CANT1,Activator,1.0,DoRothEA_confC
KLF5,CD9,Activator,1.0,DoRothEA_confC
KLF5,CIRBP,Activator,1.0,DoRothEA_confC
KLF5,COL4A2,Activator,1.0,DoRothEA_confC
KLF5,DGKQ,Activator,1.0,DoRothEA_confC
KLF5,DVL1,Activator,1.0,DoRothEA_confC
KLF5,ECE1,Activator,1.0,DoRothEA_confC
KLF5,FA2H,Activator,1.0,DoRothEA_confC
KLF5,GPR137,Activator,1.0,DoRothEA_confC
KLF5,GPX4,Activator,1.0,DoRothEA_confC
KLF5,LNX2,Activator,1.0,DoRothEA_confC
KLF5,LSR,Activator,1.0,DoRothEA_confC
KLF5,LTBP3,Activator,1.0,DoRothEA_confC
KLF5,LTBP4,Activator,1.0,DoRothEA_confC
KLF5,MIB2,Activator,1.0,DoRothEA_confC
KLF5,MIDN,Activator,1.0,DoRothEA_confC
KLF5,MKNK2,Activator,1.0,DoRothEA_confC
KLF5,MYH14,Activator,1.0,DoRothEA_confC
KLF5,MYO1C,Activator,1.0,DoRothEA_confC
KLF5,MYO5B,Activator,1.0,DoRothEA_confC
KLF5,NFE2L2,Activator,1.0,DoRothEA_confC
KLF5,PLEC,Activator,1.0,DoRothEA_confC
KLF5,PPL,Activator,1.0,DoRothEA_confC
KLF5,PPP1R13L,Activator,1.0,DoRothEA_confC
