1.5000e+00	5.6420e+03	5.6420e+03	9.0417e-07
2.0000e+00	7.0120e+03	7.0120e+03	1.1237e-06
2.5000e+00	8.3680e+03	8.3680e+03	1.3410e-06
3.0000e+00	9.7420e+03	9.7420e+03	1.5612e-06
3.5000e+00	1.1150e+04	1.1150e+04	1.7869e-06
4.0000e+00	1.2580e+04	1.2580e+04	2.0160e-06
4.5000e+00	1.4040e+04	1.4040e+04	2.2500e-06
5.0000e+00	1.5520e+04	1.5520e+04	2.4872e-06
5.5000e+00	1.7000e+04	1.7000e+04	2.7244e-06
6.0000e+00	1.8470e+04	1.8470e+04	2.9599e-06
6.5000e+00	1.9930e+04	1.9930e+04	3.1939e-06
7.0000e+00	2.1370e+04	2.1370e+04	3.4247e-06
7.5000e+00	2.2770e+04	2.2770e+04	3.6490e-06
8.0000e+00	2.4130e+04	2.4130e+04	3.8670e-06
8.5000e+00	2.5450e+04	2.5450e+04	4.0785e-06
9.0000e+00	2.6710e+04	2.6710e+04	4.2804e-06
9.5000e+00	2.7930e+04	2.7930e+04	4.4760e-06
1.0000e+01	2.7470e+04	2.7470e+04	4.4022e-06
1.5000e+01	3.5870e+04	3.5870e+04	5.7484e-06
2.0000e+01	4.0710e+04	4.0710e+04	6.5240e-06
2.5000e+01	4.3560e+04	4.3560e+04	6.9808e-06
3.0000e+01	4.5280e+04	4.5280e+04	7.2564e-06
3.5000e+01	4.6290e+04	4.6290e+04	7.4183e-06
4.0000e+01	4.6850e+04	4.6850e+04	7.5080e-06
4.5000e+01	4.7110e+04	4.7110e+04	7.5497e-06
5.0000e+01	4.7140e+04	4.7140e+04	7.5545e-06
5.5000e+01	4.7030e+04	4.7030e+04	7.5369e-06
6.0000e+01	4.6810e+04	4.6810e+04	7.5016e-06
6.5000e+01	4.6510e+04	4.6510e+04	7.4535e-06
7.0000e+01	4.6170e+04	4.6170e+04	7.3990e-06
7.5000e+01	4.5780e+04	4.5780e+04	7.3365e-06
8.0000e+01	4.5370e+04	4.5370e+04	7.2708e-06
8.5000e+01	4.4950e+04	4.4950e+04	7.2035e-06
9.0000e+01	4.4520e+04	4.4520e+04	7.1346e-06
9.5000e+01	4.4080e+04	4.4080e+04	7.0641e-06
1.0000e+02	4.3650e+04	4.3650e+04	6.9952e-06
1.5000e+02	4.0700e+04	4.0700e+04	6.5224e-06
2.0000e+02	3.7300e+04	3.7300e+04	5.9776e-06
2.5000e+02	3.4720e+04	3.4720e+04	5.5641e-06
3.0000e+02	3.2610e+04	3.2610e+04	5.2260e-06
3.5000e+02	3.0780e+04	3.0780e+04	4.9327e-06
4.0000e+02	2.9150e+04	2.9150e+04	4.6715e-06
4.5000e+02	2.7670e+04	2.7670e+04	4.4343e-06
5.0000e+02	2.6300e+04	2.6300e+04	4.2147e-06
5.5000e+02	2.5030e+04	2.5030e+04	4.0112e-06
6.0000e+02	2.3850e+04	2.3850e+04	3.8221e-06
6.5000e+02	2.2750e+04	2.2750e+04	3.6458e-06
7.0000e+02	2.1720e+04	2.1720e+04	3.4808e-06
7.5000e+02	2.0760e+04	2.0760e+04	3.3269e-06
8.0000e+02	1.9860e+04	1.9860e+04	3.1827e-06
8.5000e+02	1.9020e+04	1.9020e+04	3.0481e-06
9.0000e+02	1.8250e+04	1.8250e+04	2.9247e-06
9.5000e+02	1.7520e+04	1.7520e+04	2.8077e-06
1.0000e+03	1.6850e+04	1.6850e+04	2.7003e-06
1.5000e+03	1.2510e+04	1.2510e+04	2.0048e-06
2.0000e+03	1.0370e+04	1.0370e+04	1.6619e-06
2.5000e+03	8.8050e+03	8.8050e+03	1.4111e-06
3.0000e+03	7.7000e+03	7.7000e+03	1.2340e-06
3.5000e+03	6.8760e+03	6.8760e+03	1.1019e-06
4.0000e+03	6.2300e+03	6.2300e+03	9.9840e-07
4.5000e+03	5.7000e+03	5.7000e+03	9.1346e-07
5.0000e+03	5.2670e+03	5.2670e+03	8.4407e-07
5.5000e+03	4.9080e+03	4.9080e+03	7.8654e-07
6.0000e+03	4.6040e+03	4.6040e+03	7.3782e-07
6.5000e+03	4.3440e+03	4.3440e+03	6.9615e-07
7.0000e+03	4.1190e+03	4.1190e+03	6.6010e-07
7.5000e+03	3.9220e+03	3.9220e+03	6.2853e-07
8.0000e+03	3.7490e+03	3.7490e+03	6.0080e-07
8.5000e+03	3.5940e+03	3.5940e+03	5.7596e-07
9.0000e+03	3.4570e+03	3.4570e+03	5.5401e-07
9.5000e+03	3.3330e+03	3.3330e+03	5.3413e-07
1.0000e+04	3.2210e+03	3.2210e+03	5.1619e-07
