ASTAR: Stopping Powers and Range Tables for Alpha Particles

WATER, LIQUID                                                           

Kinetic  	Electron.	Nuclear  	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

2.750E+02	3.855E+01	1.734E-02	3.857E+01	
3.000E+02	3.604E+01	1.593E-02	3.606E+01	
3.500E+02	3.205E+01	1.370E-02	3.206E+01	
4.000E+02	2.900E+01	1.201E-02	2.901E+01	
4.500E+02	2.659E+01	1.069E-02	2.660E+01	
5.000E+02	2.464E+01	9.637E-03	2.465E+01	
5.500E+02	2.302E+01	8.773E-03	2.303E+01	
6.000E+02	2.167E+01	8.053E-03	2.168E+01	
6.500E+02	2.051E+01	7.441E-03	2.052E+01	
7.000E+02	1.952E+01	6.914E-03	1.952E+01	
7.500E+02	1.865E+01	6.455E-03	1.865E+01	
8.000E+02	1.788E+01	6.052E-03	1.789E+01	
8.500E+02	1.721E+01	5.697E-03	1.721E+01	
9.000E+02	1.660E+01	5.382E-03	1.661E+01	
9.500E+02	1.606E+01	5.101E-03	1.607E+01	
1.000E+03	1.557E+01	4.848E-03	1.558E+01
